imdb_id,budget,revenue,original_title,director,genres,release_date,vote_count,vote_average,release_year
tt3321300,0,0,Spooks: The Greater Good,Bharat Nalluri,"['Thriller', 'Action']",2015-04-11,114,5.6,2015
tt1674771,30000000,49263404,Entourage,Doug Ellin,['Comedy'],2015-06-03,364,6.2,2015
tt0884732,23000000,79799880,The Wedding Ringer,Jeremy Garelick,['Comedy'],2015-01-16,446,6.5,2015
tt1727776,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,"['Comedy', 'Horror']",2015-10-23,288,6.2,2015
tt3567288,5000000,98450062,The Visit,M. Night Shyamalan,"['Horror', 'Thriller']",2015-09-10,729,5.9,2015
tt1355683,53000000,99775678,Black Mass,Scott Cooper,"['Crime', 'Drama']",2015-09-04,848,6.3,2015
tt3276924,8900000,50136,Heist,Scott Mann,"['Crime', 'Action', 'Thriller']",2015-11-13,233,5.4,2015
tt3850590,15000000,61548707,Krampus,Michael Dougherty,"['Horror', 'Comedy', 'Fantasy']",2015-11-26,342,5.9,2015
tt2402101,20000000,208588,Dark Places,Gilles Paquet-Brenner,"['Drama', 'Mystery', 'Thriller']",2015-03-31,322,5.7,2015
tt1781922,5000000,54418872,No Escape,John Erick Dowdle,"['Action', 'Thriller']",2015-08-26,519,6.7,2015
tt3850214,700000,17986781,Dope,Rick Famuyiwa,"['Crime', 'Drama', 'Comedy']",2015-06-19,448,7.3,2015
tt3316948,28000000,28208085,American Ultra,Nima Nourizadeh,"['Comedy', 'Action']",2015-08-19,695,5.9,2015
tt2404425,11000000,61619773,Woman in Gold,Simon Curtis,['Drama'],2015-04-10,277,7.3,2015
tt3086386,0,0,The Scorpion King: The Lost Throne,Mike Elliott,"['Action', 'Fantasy', 'Adventure']",2015-01-09,22,4.5,2015
tt1850457,30000000,105011053,Sisters,Jason Moore,['Comedy'],2015-12-18,399,5.9,2015
tt2436386,12000000,32248241,Project Almanac,Dean Israelite,"['Science Fiction', 'Thriller']",2015-01-30,637,6.3,2015
tt1727770,0,5189646,Absolutely Anything,Terry Jones,"['Comedy', 'Science Fiction']",2015-06-26,199,5.8,2015
tt2938956,25000000,72629670,The Transporter Refueled,Camille Delamarre,"['Thriller', 'Action', 'Crime']",2015-09-03,407,5.3,2015
tt2554274,55000000,74679822,Crimson Peak,Guillermo del Toro,"['Mystery', 'Thriller', 'Fantasy', 'Horror', 'Drama']",2015-10-13,819,6.4,2015
tt1945084,0,0,Everly,Joe Lynch,"['Thriller', 'Action']",2015-01-23,169,5.1,2015
tt2268016,14800000,122413057,Magic Mike XXL,Gregory Jacobs,"['Comedy', 'Drama', 'Music']",2015-07-01,501,6.3,2015
tt2473510,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,"['Horror', 'Thriller']",2015-10-21,267,5.0,2015
tt3205376,0,229094,Slow West,John Maclean,"['Romance', 'Thriller', 'Western']",2015-04-16,229,6.6,2015
tt3203606,15000000,8235661,Trumbo,Jay Roach,['Drama'],2015-10-27,273,7.2,2015
tt1741273,19500000,32189727,Secret in Their Eyes,Billy Ray,"['Crime', 'Drama', 'Mystery']",2015-10-14,202,6.2,2015
tt2872462,0,2500431,Mistress America,Noah Baumbach,['Comedy'],2015-08-14,132,6.4,2015
tt2279373,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,"['Family', 'Animation']",2015-02-05,533,5.7,2015
tt2273657,0,4719695,True Story,Rupert Goold,"['Crime', 'Drama', 'Mystery']",2015-04-17,354,6.0,2015
tt3369806,20000000,43967255,Max,Boaz Yakin,"['Adventure', 'Drama', 'Family']",2015-06-26,214,7.0,2015
tt2872750,0,59700000,Shaun the Sheep Movie,Mark Burton|Richard Starzack,"['Family', 'Animation', 'Comedy', 'Adventure']",2015-02-05,340,6.9,2015
tt2217859,11000000,0,Louder Than Bombs,Joachim Trier,['Drama'],2015-05-18,43,6.3,2015
tt3577624,0,1702433,A Perfect Day,Fernando LeÃ³n de Aranoa,"['Comedy', 'Drama']",2015-08-28,102,6.3,2015
tt2515034,40000000,10664749,The Gunman,Pierre Morel,"['Action', 'Drama', 'Crime']",2015-02-16,283,5.6,2015
tt3713166,1000000,62882090,Unfriended,Levan Gabriadze,"['Horror', 'Thriller']",2015-04-17,643,5.6,2015
tt2967224,35000000,51680201,Hot Pursuit,Anne Fletcher,"['Action', 'Crime', 'Comedy']",2015-05-08,472,5.5,2015
tt3195644,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,"['Drama', 'Horror', 'Thriller']",2015-06-04,610,6.3,2015
tt1598642,0,118483,Z for Zachariah,Craig Zobel,"['Drama', 'Science Fiction', 'Thriller']",2015-08-13,181,5.5,2015
tt3829170,0,0,Dragonheart 3: The Sorcerer's Curse,Colin Teague,"['Action', 'Adventure', 'Fantasy']",2015-02-24,59,4.5,2015
tt3722070,6000000,41387687,The Lady in the Van,Nicholas Hytner,"['Comedy', 'Drama']",2015-11-13,135,5.9,2015
tt1976009,40000000,34227298,Victor Frankenstein,Paul McGuigan,"['Drama', 'Science Fiction', 'Thriller']",2015-11-10,408,5.5,2015
tt3532278,0,0,Brothers of the Wind,Gerado Olivares|Otmar Penker,"['Adventure', 'Drama', 'Family']",2015-12-24,11,7.5,2015
tt2401878,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,"['Animation', 'Comedy', 'Drama', 'Romance']",2015-12-30,259,6.7,2015
tt2494362,1800000,0,Bone Tomahawk,S. Craig Zahler,"['Horror', 'Western', 'Adventure', 'Drama']",2015-10-23,220,6.3,2015
tt3319920,0,17671101,Regression,Alejandro AmenÃ¡bar,"['Horror', 'Mystery', 'Thriller']",2015-10-01,310,5.2,2015
tt1596345,0,0,Pawn Sacrifice,Edward Zwick,['Drama'],2015-09-16,148,6.6,2015
tt0787524,0,11472454,The Man Who Knew Infinity,Matt Brown,['Drama'],2015-09-17,104,7.1,2015
tt3181776,20000000,0,Momentum,Stephen S. Campanelli,"['Thriller', 'Action']",2015-08-01,100,5.8,2015
tt3172532,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,"['Drama', 'Romance']",2015-08-07,186,6.8,2015
tt3733778,0,0,Pay the Ghost,Uli Edel,"['Horror', 'Thriller']",2015-09-16,114,5.3,2015
tt1567437,0,0,The Voices,Marjane Satrapi,"['Horror', 'Thriller', 'Comedy', 'Crime']",2015-02-06,371,6.0,2015
tt2493486,0,3643591,Last Knights,Kazuaki Kiriya,"['Action', 'Adventure']",2015-04-03,237,6.3,2015
tt3278330,12000000,0,Il racconto dei racconti,Matteo Garrone,"['Romance', 'Fantasy', 'Horror']",2015-05-14,211,5.7,2015
tt3715320,11000000,27391084,Irrational Man,Woody Allen,"['Mystery', 'Drama']",2015-07-17,319,6.1,2015
tt1837636,15000000,0,Queen of the Desert,Werner Herzog,"['Drama', 'History']",2015-09-03,30,6.0,2015
tt3623726,18000000,41325328,Ricki and the Flash,Jonathan Demme,"['Comedy', 'Drama', 'Music']",2015-07-10,152,5.5,2015
tt2245003,0,0,Miss You Already,Catherine Hardwicke,"['Comedy', 'Drama', 'Romance']",2015-09-12,139,7.2,2015
tt3472226,630019,0,Kung Fury,David Sandberg,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",2015-05-28,487,7.7,2015
tt3862750,12000000,60273173,The Perfect Guy,David M. Rosenthal,"['Drama', 'Thriller']",2015-09-11,122,5.6,2015
tt2056771,0,1936524,A Bigger Splash,Luca Guadagnino,"['Crime', 'Drama', 'Mystery', 'Thriller']",2015-11-26,69,5.8,2015
tt1791682,10000000,7587485,While We're Young,Noah Baumbach,"['Drama', 'Comedy']",2015-03-27,265,5.9,2015
tt2561572,40000000,106511453,Get Hard,Etan Cohen,['Comedy'],2015-03-26,661,5.9,2015
tt2917388,0,0,Kidnapping Mr. Heineken,Daniel Alfredson,"['Drama', 'Action', 'Crime', 'Thriller']",2015-03-12,131,5.8,2015
tt2479478,60000000,0,The Ridiculous 6,Frank Coraci,"['Comedy', 'Western']",2015-12-11,252,4.8,2015
tt2393845,0,0,Kill Me Three Times,Kriv Stenders,"['Comedy', 'Thriller']",2015-04-10,96,5.1,2015
tt2006295,25000000,24902723,The 33,Patricia Riggen,"['History', 'Drama']",2015-08-06,262,5.8,2015
tt3077214,14000000,16002420,Suffragette,Sarah Gavron,"['Drama', 'History']",2015-10-16,231,7.1,2015
tt3544082,0,0,45 Years,Andrew Haigh,['Drama'],2015-08-28,167,6.0,2015
tt3787590,6000000,11122090,We Are Your Friends,Max Joseph,"['Drama', 'Music', 'Romance']",2015-08-26,412,6.2,2015
tt1731701,0,6075,Barely Lethal,Kyle Newman,"['Adventure', 'Action', 'Comedy']",2015-04-30,215,5.5,2015
tt2884018,0,13192457,Macbeth,Justin Kurzel,"['History', 'Drama', 'War']",2015-08-16,269,6.4,2015
tt4382872,0,16775,Extraction,Steven C. Miller,"['Action', 'Thriller']",2015-12-18,57,4.2,2015
tt3289712,0,0,Jenny's Wedding,Mary Agnes Donoghue,"['Comedy', 'Drama']",2015-07-31,92,5.2,2015
tt3440298,0,0,Descendants,Kenny Ortega,"['Music', 'Action', 'Adventure', 'Comedy', 'Family']",2015-07-31,262,6.7,2015
tt2338424,0,0,Tumbledown,Sean Mewshaw,"['Music', 'Romance', 'Comedy']",2015-04-18,22,6.6,2015
tt2935476,0,30229977,Far from the Madding Crowd,Thomas Vinterberg,"['Romance', 'Drama']",2015-05-01,220,6.9,2015
tt3416744,0,3002884,The End of the Tour,James Ponsoldt,['Drama'],2015-07-31,126,7.3,2015
tt2555736,10000000,85978266,The Second Best Exotic Marigold Hotel,John Madden,"['Drama', 'Comedy']",2015-02-26,196,6.4,2015
tt1810683,20000000,6420319,Little Boy,Alejandro Monteverde,"['Comedy', 'Drama', 'War']",2015-04-23,113,7.1,2015
tt4189260,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Brandon Vietti,"['Action', 'Adventure', 'Animation', 'Family']",2015-02-10,14,6.4,2015
tt3704050,0,1986615,Remember,Atom Egoyan,"['Drama', 'Thriller']",2015-10-23,75,7.7,2015
tt1243974,37000000,26250020,Aloha,Cameron Crowe,"['Adventure', 'Comedy', 'Romance']",2015-05-27,469,5.2,2015
tt1137470,26000000,0,Accidental Love,David O. Russell|Stephen Greene,"['Romance', 'Comedy']",2015-02-10,64,3.6,2015
tt4856322,0,0,Halo: The Fall of Reach,Ian Kirby,"['Action', 'Animation', 'Science Fiction']",2015-10-27,32,5.3,2015
tt1018765,28000000,7002261,Our Brand Is Crisis,David Gordon Green,"['Drama', 'Comedy']",2015-09-11,122,5.7,2015
tt2625810,0,0,Into the Forest,Patricia Rozema,"['Drama', 'Science Fiction']",2015-06-03,57,5.1,2015
tt2400463,0,231737,The Invitation,Karyn Kusama,['Thriller'],2015-03-13,192,6.4,2015
tt3165630,0,0,The Benefactor,Andrew Renzi,['Drama'],2015-04-17,55,4.5,2015
tt4938374,0,0,Open Season: Scared Silly,David Feiss,"['Animation', 'Comedy', 'Family', 'Adventure']",2015-12-31,33,5.6,2015
tt3813310,0,134552,Cop Car,Jon Watts,['Thriller'],2015-08-07,174,5.5,2015
tt2322517,0,0,Mojave,William Monahan,['Thriller'],2015-04-18,17,4.3,2015
tt3165612,0,3214116,Sleeping with Other People,Leslye Headland,['Comedy'],2015-06-26,197,6.2,2015
tt2271563,11000000,0,Forsaken,Jon Cassar,"['Western', 'Drama']",2015-09-16,53,5.6,2015
tt2870648,0,8413144,Amy,Asif Kapadia,"['Documentary', 'Music']",2015-07-03,345,7.5,2015
tt2334733,0,0,Madame Bovary,Sophie Barthes,['Drama'],2015-06-04,52,5.3,2015
tt2474976,0,0,The Hallow,Corin Hardy,"['Fantasy', 'Horror']",2015-11-06,122,4.9,2015
tt4215332,0,0,Barbie in Princess Power,Zeke Norton,"['Family', 'Animation']",2015-01-29,13,5.5,2015
tt2393827,0,0,Howl,Paul Hyett,['Horror'],2015-10-01,62,4.9,2015
tt1658801,7000000,573335,Freeheld,Peter Sollett,"['Romance', 'Drama']",2015-10-02,86,7.1,2015
tt3064298,0,0,Man Up,Ben Palmer,"['Romance', 'Comedy']",2015-05-29,264,6.5,2015
tt3774694,3000000,695269,Love,Gaspar NoÃ©,"['Drama', 'Romance']",2015-07-06,307,4.7,2015
tt3859076,9600000,2541554,Truth,James Vanderbilt,['Drama'],2015-09-12,89,6.4,2015
tt2948790,0,0,Return to Sender,Fouad Mikati,['Thriller'],2015-05-31,88,5.0,2015
tt1772288,10000000,10835752,Danny Collins,Dan Fogelman,"['Comedy', 'Drama', 'Music']",2015-03-20,114,6.6,2015
tt3164256,15000000,3020664,Rock the Kasbah,Barry Levinson,"['Comedy', 'Music', 'War']",2015-10-22,56,5.1,2015
tt2582502,2240000,0,Fathers and Daughters,Gabriele Muccino,['Drama'],2015-10-01,142,7.0,2015
tt3766394,1000000,14444999,"Hello, My Name Is Doris",Michael Showalter,"['Comedy', 'Drama', 'Romance']",2015-11-27,87,6.6,2015
tt1524575,13000000,1784763,The Vatican Tapes,Mark Neveldine,"['Thriller', 'Horror']",2015-07-24,164,4.5,2015
tt2891174,8000000,1411927,99 Homes,Ramin Bahrani,['Drama'],2015-09-25,121,6.8,2015
tt2637294,14000000,12314651,Hot Tub Time Machine 2,Steve Pink,['Comedy'],2015-02-20,244,5.0,2015
tt2101383,0,0,Knight of Cups,Terrence Malick,"['Romance', 'Drama']",2015-09-10,101,5.7,2015
tt2893490,4000000,143101,Manglehorn,David Gordon Green,['Drama'],2015-06-03,35,5.0,2015
tt2349144,0,0,Mississippi Grind,Ryan Fleck|Anna Boden,['Drama'],2015-07-04,74,5.7,2015
tt3774790,0,0,400 Days,Matt Osterman,"['Mystery', 'Science Fiction', 'Thriller']",2015-10-29,98,4.2,2015
tt3824386,0,0,Lava,James Ford Murphy,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",2015-06-19,298,7.3,2015
tt2091478,0,0,Air,Christian Cantamessa,"['Thriller', 'Science Fiction']",2015-08-14,135,4.7,2015
tt4642044,0,0,Riot,John Lyde,['Action'],2015-09-27,11,5.0,2015
